Year,Africa Eastern and Southern,Africa Western and Central,Australia,Austria,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,"Bahamas, The",Belize,Bermuda,Bolivia,Brazil,Botswana,Central African Republic,Canada,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Costa Rica,Caribbean small states,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Ecuador,Euro area,Spain,Finland,Fiji,France,Gabon,United Kingdom,Ghana,Greece,Guatemala,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Haiti,IBRD only,IDA & IBRD total,IDA total,IDA blend,IDA only,India,Ireland,Iceland,Italy,Jamaica,Japan,Kenya,St. Kitts and Nevis,"Korea, Rep.",Latin America & Caribbean (excluding high income),Latin America & Caribbean,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Luxembourg,Morocco,Madagascar,Mexico,Middle income,Malaysia,North America,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,OECD members,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Pre-demographic dividend,Puerto Rico,Portugal,Post-demographic dividend,Rwanda,South Asia,Sudan,Senegal,Singapore,Sierra Leone,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa,Suriname,Sweden,Eswatini,Seychelles,Chad,East Asia & Pacific (IDA & IBRD countries),Togo,Thailand,Latin America & the Caribbean (IDA & IBRD countries),South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Turkiye,Uganda,Upper middle income,Uruguay,United States,St. Vincent and the Grenadines,World,South Africa,Zambia,Zimbabwe
1960,21125015452.1973,10447637852.9182,18606562979.2829,6592693841.18495,195999989.80792,11658722590.99,226195578.067006,330442815.284328,4274893913.49536,169803921.568627,28072478.0640563,84466654.0769119,377020202.020202,17030465539.3906,30411418.6788295,112155598.309943,40462398501.8858,4110000000.0,59716251765.1756,546203558.456965,614206067.499389,3359404117.64706,131731862.568997,4031152977.24659,507513829.994855,1880325752.27696,672399700.0,2723615449.12903,81326348985.7568,150325406857.623,154635572036.74,2069465326.42335,244832979621.286,12072126075.397,5224102195.52771,112328422.113084,62225478000.8822,141468977.570007,73233970838.2328,1217230094.97205,4335186016.83942,1043599900.0,170216241.05514,1070309605652.22,1320796651.69457,335649999.832175,17292450314.7727,273187199.78145,312847710618.945,351271390107.743,38320022083.1443,12063716103.7475,27105173973.3975,37029883846.9303,1939329775.43739,248434274.503252,40385288344.1911,699064380.793686,44307342906.2157,791265458.813328,12366635.7449245,3958824423.99818,68172083254.5475,84318575227.748,1409873949.57983,88132926255.9844,328460411085.231,34579986.1818375,187879636913.398,703925705.942958,2037154740.29751,673081724.075966,13039999986.96,316376209430.522,1916229475.84631,583846865155.963,449526872.565561,4196174503.20867,227223322.141537,12276734172.0828,5163271598.15702,508334413.965087,1074536963868.01,3749265014.69971,537147100.0,2571986572.12719,7515892289.174,230496036.907025,20753285598.4638,1691900000.0,3193200404.37297,1047773359738.19,119000024.119,47156704038.6455,1126364161.7644,1003692368.83803,704751699.827961,321993630.573248,31027714943.1575,31038651924.7156,99650000.0,15822585461.2453,35076845.9832923,12012025.2477875,313582727.638108,81224776384.7074,164603553.982281,2760750921.40101,79315282447.4448,47156704038.6455,31038651924.7155,535673252.260337,7552470818.80865,423008385.744235,229313536534.493,1242289239.20493,543300000000.0,13066633.9946372,1384857385930.82,8748596504.06083,713000000.0,1052990400.0
1961,21616228139.0375,11173212080.394,19682883151.6233,7311749633.36229,202999991.80106,12400145221.595,235668220.872225,350247234.801719,4817580183.60155,190098039.215686,29964999.9560105,89249986.6972895,410101010.10101,17275940449.3837,32902592.8362861,123134583.653758,40935133543.1576,4828612639.17894,50056688014.5744,618245635.134801,652777609.328803,3086746857.14286,151675739.160627,4540447761.87171,490325181.614275,2038322827.28313,654100200.0,2434747053.99859,71596255522.1951,159940391122.294,155171539971.904,1753850416.75551,268965206140.915,13834300571.4849,5921659485.03284,116987784.913739,67461644222.0352,167637907.381723,77741969043.1479,1302674324.88378,4961400439.31722,1076699900.0,185849535.298724,1133274574092.24,1383681651.13776,356199999.8219,17719500926.6905,271065999.783147,309558648106.402,350792507441.112,40400043936.4123,12910262578.4012,28350259476.5851,39232435753.0422,2088012282.35667,253885451.990572,44842760293.1924,748043501.231425,53508617686.0178,792959472.134266,12483302.1198766,2417638423.22215,71358741142.5519,89675894612.8353,1444327731.09244,93268101022.5087,325549054205.905,35699985.7342857,174494200572.47,704145671.350213,2025693537.93302,699161943.856733,14159999985.84,313303886062.987,1901856121.44173,604324383529.855,485785231.729353,4467287894.87176,244144236.65331,13493833739.9949,5632460936.54576,531959561.160121,1137842040851.96,4118647627.04746,599026300.0,2897852693.27494,8171194489.33401,244832039.202506,21438148383.2079,1865100000.0,3417516639.37596,1107818944165.0,122000016.122,50316837320.1965,1222860428.55503,1058975258.60599,764629787.608839,327818552.996897,32263804167.3746,32274153936.369,107700000.0,17212687079.8146,43026042.8067933,11592024.3649978,333975336.626596,71506835328.2545,171762891.713318,3034037871.75596,84250590001.3384,50316837320.1965,32274153936.369,584964620.678045,7971175166.29712,441524109.014675,217557259638.347,1547388781.43133,563300000000.0,13999964.9942542,1449220624663.54,9225996313.29187,696285714.285714,1096646600.0
1962,23506279899.9665,11990534017.873,19922563190.0008,7756110210.11966,213500005.79077,13264015675.3193,236434954.341059,379567099.735017,5081413339.78635,212254901.960784,31857591.8480346,94149985.9669446,448400673.400673,19231747851.5332,35644931.942153,124482773.992316,42227357845.3009,5633224652.59091,47209188355.5452,645284474.559229,694247865.267079,3779841428.57143,166521239.863281,4955537980.05851,479180824.348506,2153917654.87214,824100000.0,2001444542.3228,65380076109.9713,164426987482.149,158388453382.132,1518208221.23969,298819073251.177,16138545209.246,6340580854.39073,122906434.957814,75607529809.9288,182796536.499884,81247567647.2185,1382515654.47343,5213047711.42704,1143600000.0,194949512.544989,1222979975247.05,1612346412.26475,387749999.806125,19291312491.5232,281896799.774483,317296811852.145,362178039570.062,43393750351.9502,13806159755.9225,30520380944.1354,42161481824.7743,2260349684.08625,284916520.947168,50383891898.9911,777727689.37556,60723018623.179,868111400.008864,12541635.3073527,2814626210.10081,77592630259.6091,98223077655.4226,1434156378.60082,94753315348.1566,334089795902.263,41859983.2727507,177739054287.771,741509480.796284,2379611122.70504,739286906.851163,15199999984.8,320085524430.747,2001489600.83708,647421507831.268,531736599.930736,4909399178.20409,269283803.686825,14647057370.1418,6066976682.67364,574091100.695641,1227852102269.12,4310163796.72407,652120900.0,3284322201.27831,4954593633.20422,261184041.820789,23419301225.6423,2094400000.0,3668222357.65702,1196159196890.88,125000008.125,53705580292.7517,1328259624.72217,1085475791.97981,826239211.261177,342704719.908542,34913239385.5038,34924550100.1625,116150000.0,18667251884.6321,45927961.6471865,12642026.5719722,357635713.876858,65298419617.7013,179700351.928846,3308912796.93487,92203741567.232,53705580292.7516,34924550100.1625,619322809.768256,8902439024.39024,449012578.616352,223123039214.32,1710004407.22785,605100000000.0,14524963.6815387,1550815493822.99,9813996078.32716,693142857.142857,1117601600.0
1963,28048360188.2788,12727688165.4505,21539843448.9597,8374175257.73075,232749997.771905,14260017387.0492,253927697.573028,394040667.595114,5319458351.16235,237745098.039216,33750113.7399887,96366652.3032171,482828282.828283,23287712878.2002,38091832.9893847,129379123.923536,45029724490.3892,5592044870.5158,50706616610.0732,761047198.973677,718320845.935362,6213185742.57426,172233430.871502,4836166666.66667,511902136.809973,2290336890.92313,940799900.0,2702982015.48253,70825945772.774,174329767924.917,176730177978.798,1824344492.08344,335341767111.3,19074913947.7196,6885920328.66187,129454728.623599,84759195105.8693,154480244.246844,86561965531.0253,1540797588.57221,5895278024.09202,1262800000.0,175757893.865366,1316949086916.01,1935298266.45384,410199999.7949,23352325839.938,294883399.764093,340355731341.582,390673356818.893,48370130958.8006,14612004567.7172,34907257225.3683,48421923420.8701,2430843768.44553,340061655.834167,57710743059.8341,826706669.813356,69498131728.0282,926589348.567393,12833301.244733,3988476878.75723,78189337825.5347,99825291120.7008,1240672268.90756,105425780799.221,361346791000.707,47039981.2028235,193962516262.902,791140595.772755,2657252576.17548,759345862.970929,16959999983.04,343208421071.067,2510110346.4717,683726091142.692,586294879.4719,5165590255.83013,297324163.095513,15891241386.291,6510239502.76489,496947904.443033,1323009087447.25,4630827383.45233,722784500.0,3598272493.3109,5505023032.52477,275968044.188003,27350179503.8425,2333600000.0,3905734459.72693,1288479558756.58,128000000.128,60408326895.4929,1351234926.33899,1122139863.06998,917608011.873896,348529805.650825,39962028720.7463,39974355837.2025,125950000.0,20204871175.862,54129438.3698764,13923029.264481,371767002.656036,70737487657.7394,194673419.070159,3540403456.55305,93477829839.7478,60408326895.4929,39974355837.2024,678239329.119076,10332594235.0333,516147798.742138,234129505241.679,1539681490.78174,638600000000.0,13708299.0568739,1671446748430.4,10854195662.6634,718714285.714286,1159511700.0
1964,25920665259.89,13898109284.018,23801123811.0359,9169983885.71185,260750007.744465,15960106680.6732,269819005.7911,410321644.832548,5386054619.34987,266666666.666667,36194586.1837278,107566650.633857,544023569.023569,20963733694.9749,41616368.3159934,142025078.689939,49377963148.9781,5963077661.56305,59708127657.7318,921063326.292797,776650176.653918,2881545272.72727,185693724.845331,5973366666.66667,542578367.242598,2470289708.53948,1025599900.0,2909316432.96736,81742063326.972,199945297628.865,202714831720.699,2244146867.90615,373024154759.547,21343844643.7341,7766655085.78588,140032741.468329,94007851047.3678,215679855.272516,94407562406.9086,1731296199.52296,6669673257.1183,1299099900.0,194774512.982561,1437552390659.38,2206466461.26434,456999999.7715,20816472041.2354,325281199.739775,385694861547.252,433787465166.337,47330394529.8718,15945614583.7561,32277415320.983,56480289896.3705,2766608945.87402,434267944.211859,63175417019.0094,897949001.359168,81749006299.9892,998759333.637333,13416633.1194936,3459032883.02465,89672295454.3963,111007004326.047,1309747899.15966,118413401901.67,404761663132.835,51939979.2447843,213074603900.15,903158753.943622,2798345296.33244,802482182.923768,20079999979.92,390696261920.414,2674423920.68764,735285529799.612,582816396.216401,5552931321.04864,347119918.158577,18699380731.3465,7159202706.48027,496098775.308642,1446027927230.7,5204955900.88198,776137500.0,4353664866.67985,5953755756.42287,305312048.886565,25448359289.936,2570500000.0,4235608177.67102,1405754910472.25,129999994.13,69158968713.7364,1388282600.1961,1188930644.9607,894153310.822794,371829821.982688,39224536060.3548,39238590134.769,134400000.0,22532417359.0416,64980554.0337706,15393032.3542452,392247517.601949,81639971519.2023,225722420.016929,3889129938.60554,103971029018.668,69158968713.7364,39238590134.769,711897519.959574,11129344520.3505,589056603.773585,268661015368.313,1975701816.46615,685800000000.0,14758296.4314429,1830491675385.55,11955995222.3843,839428571.428571,1217138000.0
1965,29472103269.7419,14929792387.5151,25976164159.3034,9994070615.85997,158994962.811977,17371457607.9374,289908680.180676,422916789.389845,5906636557.00092,300392156.862745,40110040.0980071,114339048.965166,604377104.377104,22465522884.0988,45788670.6930146,150574795.28224,54515115736.0018,6109341260.46301,70436011537.1841,919771228.036518,814083264.821428,4043901818.18182,198318063.860835,5760761904.7619,592981161.760676,2661014415.86308,888100000.0,3136284304.35366,95156520863.4634,216446892673.542,225621661980.282,2387048255.45173,407740569138.291,24756958694.9238,8589340019.02985,147084750.031482,101537248148.427,226474285.587108,101824759453.381,2053462968.0426,7689154053.35866,1331399900.0,213235294.117647,1561240421783.51,2435078534.03141,508649999.745675,24323923265.8039,353251799.717399,422949538284.626,477570690087.129,53468536046.2456,17314264918.6648,37261044147.577,59554854575.8085,2945704142.99765,523694958.170663,67978153850.5191,972159611.71945,90950278167.0801,997919319.974061,13593932.3220537,3120870870.87087,97220145030.4301,119321358656.636,1698319327.73109,127851800754.591,447569924976.621,54879978.0699607,239635727703.075,921600736.304026,2948331088.10181,833563472.161911,21839999978.16,431007931276.025,2956337667.30465,798329454784.967,673383510.242122,5874537652.53475,564290020.384288,21000586933.2041,8058680980.79714,735267081.655502,1569569743833.12,5929231415.37169,852485300.0,5163008077.37371,6517349192.60922,344176055.10947,28693503052.406,2881500000.0,4687464054.83455,1527319910271.75,148799980.1488,74274468929.5553,1446869619.31898,1210058227.1455,974644095.488414,359379856.248057,43662665168.7511,43676575967.6911,154150000.0,24795500355.973,70279971.9161232,15603032.7956401,416926302.963495,95037675059.4718,254526437.245173,4388937644.86053,111624496289.091,74274468929.5553,43676575967.6911,736573158.260197,11913716815.4772,884502309.069299,300143481292.058,1890767155.52622,743700000000.0,15108295.5562993,1994103484703.31,13068994777.6297,1082857142.85714,1311435800.0
1966,32014368121.3717,15910837741.9678,27307844372.532,10887682273.1014,165444571.263127,18651883472.4808,302925235.697428,433889767.020676,6439687598.32325,340000000.0,44450044.4367095,134173373.785653,669191919.191919,28283323733.1114,51465624.4090769,157930018.375448,61086991001.5477,7162377224.63917,76720008644.9133,1024102881.90257,851112536.085105,4532660181.81818,220613582.369827,5428518518.51852,647305629.63908,2888723567.10393,983900000.0,3039859185.0275,104051083523.864,213717585174.218,252106640604.131,2429309513.80854,444882753309.622,28721062242.1634,9208524504.87684,150603925.515853,110045852177.928,245849781.715899,108572756766.328,2126300672.22965,8591517943.60129,1390700000.0,228705882.352941,1712677609757.28,2489845016.64894,549949999.725025,26501609734.3972,368948599.704841,436648397312.293,496238221381.391,57924073847.9149,18833729124.9755,40278560200.5067,45865462034.2857,3104034393.23162,628893320.967614,73654870011.2757,1096759561.95423,105628070237.776,1164519673.19064,14469078.1796966,3929018943.02351,107487358657.433,131372225704.131,1751470588.23529,117578193580.324,464111355231.453,56699977.342689,266930865057.18,968440149.470951,2876401294.79959,900264583.687729,24319999975.68,446005445246.893,3143517941.70968,876221164375.333,702296079.857692,6366917455.77978,607140010.475682,22867203317.4022,8696460119.69699,906811943.824649,1722667267357.04,6561108777.82444,928833000.0,6109048736.61853,7189017882.34663,390992062.605649,31531025978.4259,3170500000.0,5135387845.97108,1675258902649.29,124525702.981669,62456580600.2219,1484491675.71652,1246908188.20855,1096425607.35263,375479849.80806,47099671961.8704,47114238410.8386,190350000.0,26971487275.2976,76859969.2867562,16443034.5612196,432794922.459758,103921128849.551,293712193.86878,5279230812.28227,122890761036.252,62456580600.2219,47114238410.8386,723739857.015464,14037610621.0219,925381491.444771,331542693710.855,1809185093.55188,815000000000.0,16099959.7433923,2164118096871.42,14211394321.1268,1264285714.28571,1281749500.0
1967,33269509510.4599,14510579888.7207,30442724874.4891,11579431668.9165,178297142.678846,19992040788.4593,306221953.364724,450753923.930489,7253575399.3215,390196078.431373,47431266.6525823,155102984.627334,755808080.808081,31086389194.961,58642385.2376744,163820513.701425,65668511127.259,7057104134.49018,72881367877.7484,1082922725.79069,936175260.825215,3384063371.75792,237397428.336429,5825170438.48704,699456618.274046,3102559321.59372,1034800000.0,3370870373.60872,100981200429.953,224481783366.105,273182977872.023,2553596091.82258,483418609566.274,31647119228.1982,9368954010.3132,162625885.863484,118972977486.207,271543680.279285,113116882129.936,1747187644.9031,9275600800.35644,1453500000.0,250176470.588235,1837383236127.49,2692474989.12571,598099999.70095,25920628322.5362,369124199.704701,448215720989.049,508218462962.174,58466985789.6226,18930485110.7438,40746948796.8414,50134942160.5497,3343636773.36759,621225998.641327,81133120065.4202,1148014311.54576,123781880094.162,1232559505.9162,16742338.2519864,4855833210.11386,109346248633.254,133988765349.139,1859465020.57613,125596732205.057,475529679883.882,59261976.3189142,268220607339.321,974721762.535327,3046345311.94219,956436931.141842,26559999973.44,458085789271.239,3188924674.94232,927523614111.886,665586872.839162,5203237920.78613,657140010.747554,25087562181.3218,9514496609.69888,841974025.462659,1849091101785.86,7464510709.7858,1034376400.0,6194340079.8786,7724873929.38407,441728182.729517,29711210460.3242,3532700000.0,5740241165.63433,1798360977872.76,159560018.15956,68712964033.0342,1607409539.36648,1246480767.03742,1238035814.95225,348795351.162769,46766192279.4379,46781000881.708,220700000.0,29275996465.9902,74759970.1259159,16632032.8138977,449826322.995107,100855079888.3,314870885.996789,5638461436.94031,124995671389.653,68712964033.0341,46781000881.708,761981839.095162,15575221240.661,967240654.219656,333642404111.708,1597713469.09611,861700000000.0,15835103.0301057,2302576793880.14,15821393677.7711,1368000000.0,1397002000.0
1968,36327785494.9277,14968235781.9644,32714085238.1793,12440625312.8685,183199999.8168,21376353113.475,326323105.58513,460442689.828422,7483685473.51275,444901960.784314,44999909.98218,150000000.0,857912457.912458,33930457425.2613,66248426.9941409,191767441.792847,71830047239.0139,7191615669.99468,70846278963.0928,1281281277.98148,1046191218.82653,3909780538.92216,251247458.012189,5960212869.12968,773841493.682587,3083639279.16315,1079100000.0,3852147023.70112,102253082476.347,242649043703.582,301204253595.281,2582180794.1855,518991679523.801,31475548481.4095,8823033880.32993,166952937.135005,129785441507.456,294468564.534369,107759913942.933,1666909517.65205,10090675902.5364,1610500000.0,229749999.885125,1991818708681.29,2716964388.42418,646799999.6766,27476506890.4153,367968799.705625,473404257947.557,536462477460.477,61480692436.8593,19982447045.2629,42761290418.349,53085455824.6593,3278584478.33023,474399519.59457,87942231678.3505,1083839133.14546,146601072539.317,1353295457.51798,14599999.9927,6119284294.23459,117684655539.16,143800251072.145,1801344537.81513,134304853998.191,502151386401.704,61445975.4461882,272945950308.174,1066447130.82052,3271422329.995,1031669636.36062,29359999970.64,483839604813.954,3330371548.96916,1014480047239.01,641214226.839012,5200997921.68123,692859984.612158,27817605743.2503,10159934036.7288,772231413.882625,2005166564863.9,8041999160.0168,1112791100.0,5736083835.29034,8632749263.06796,485184189.687693,31366965476.5643,3941700000.0,6354262628.33537,1950641593704.06,172200018.1722,72018446516.8585,1677771400.56798,1309384863.20769,1425706090.07563,329860091.944037,50111072585.353,50124977708.0635,241350000.0,31066820768.9909,79799968.1119327,16074027.3495878,453980096.65441,102125373416.713,328800480.454203,6081009422.09596,133972063278.55,72018446516.8584,50124977708.0635,758899949.62055,17422566373.6087,1037379251.37757,350115035911.564,1593674184.56285,942500000000.0,15349999.992325,2484674455063.36,17124793156.9326,1605857142.85714,1479599900.0
1969,41638967621.0007,16979315745.3914,36683365873.7405,13582798556.2404,190205714.095509,23710735894.7022,330748244.092696,478298644.747585,8471006100.95399,528137254.901961,47399905.1812296,164900000.0,929629629.62963,37171640818.5863,77361532.9935123,188039209.876317,79148003144.7061,8360001925.60634,79705618130.486,1361360291.5873,1100551487.13992,5032434970.05988,265040036.059116,6450175213.74923,853630203.048805,3359755873.65236,1230500000.0,4257253260.6934,114766750932.516,270732689849.845,346861784582.224,3112166848.3004,579332897735.763,36038711599.541,10070766720.5011,182182067.703568,141903068680.309,318124701.048949,116464706991.285,1962050555.7775,11615657031.2387,1715399900.0,249299999.87535,2191316414060.51,3189740055.13982,668000049.666,30548727421.8615,391820399.686544,528433899524.897,599235406692.588,68985085298.8438,22860809160.2566,47485002146.8669,58447994966.6784,3787077343.72783,414709309.105915,97085082807.3751,1191239404.61854,172204199309.163,1458379415.39403,15849999.992075,7678720155.46918,131858221954.734,160632293252.976,1965546218.48739,148999995284.724,561543483498.256,65967973.6391977,304305496423.197,1234878980.502,3651622666.021,1056391054.53794,32479999967.52,540752617375.372,3664552038.87553,1099212903144.71,625867984.42818,6634317348.92679,750000002.894903,34035946604.1815,11063064974.5398,788641964.643457,2205629988354.1,8683116337.67325,1221305700.0,6420909789.83,9571800645.44661,551263864.26837,35545604544.0347,4460700000.0,6969025825.62868,2144817644944.01,188700037.1887,79171992803.8779,1847501441.26221,1245234929.74988,1659893766.72653,408690163.476065,57246081129.9503,57259820309.8992,259650000.0,33738103394.0636,105419957.874185,16452027.9927472,471635620.924366,114623412917.819,363827440.301149,6695336560.93425,149564865387.498,79171992803.8779,57259820309.8992,779199999.6104,19380530975.5952,1168556627.69887,392809511713.552,2004435483.87097,1019900000000.0,16649999.991675,2740499243838.15,19256992304.9059,1965714285.71429,1747998800.0
