Lake Ontario annual averages,AnnAvg,,
1860,75.04616667,,1860-1917 levels are Oswego; 1918-present lakewide averages from Corps
1861,75.23291667,,
1862,75.23841667,,
1863,75.11383333,,
1864,75.04425,,
1865,75.0345,,
1866,74.81875,,
1867,75.00991667,,
1868,74.61141667,,
1869,74.91841667,,
1870,75.24216667,,
1871,74.81458333,,
1872,74.39916667,,
1873,74.71983333,,
1874,74.94616667,,
1875,74.55041667,,
1876,75.10558333,,
1877,74.75166667,,
1878,74.92683333,,
1879,74.83608333,,
1880,74.72491667,,
1881,74.62258333,,
1882,74.94725,,
1883,74.97916667,,
1884,75.16775,,
1885,75.02575,,
1886,75.26133333,,
1887,75.09491667,,
1888,74.71691667,,
1889,74.7825,,
1890,75.09883333,,
1891,74.80925,,
1892,74.585,,
1893,74.75416667,,
1894,74.69608333,,
1895,74.23966667,,
1896,74.33941667,,
1897,74.3965,,
1898,74.56725,,
1899,74.51591667,,
1900,74.526,,
1901,74.484,,
1902,74.562,,
1903,74.72366667,,
1904,74.95808333,,
1905,74.82908333,,
1906,74.77708333,,
1907,74.96233333,,
1908,75.155,,
1909,74.79758333,,
1910,74.66033333,,
1911,74.4725,,
1912,74.802,,
1913,75.0645,,
1914,74.77483333,,
1915,74.48608333,,
1916,74.87175,,
1917,74.88775,,
1918,74.8725,,
1919,74.95583333,,
1920,74.5675,,
1921,74.66583333,,
1922,74.65666667,,
1923,74.44333333,,
1924,74.5575,,
1925,74.39,,
1926,74.4025,,
1927,74.60666667,,
1928,74.80083333,,
1929,75.085,,
1930,75.08083333,,
1931,74.3575,,
1932,74.5025,,
1933,74.27583333,,
1934,74.02166667,,
1935,74.00416667,,
1936,74.16416667,,
1937,74.49583333,,
1938,74.5225,,
1939,74.4925,,
1940,74.42583333,,
1941,74.4075,,
1942,74.51666667,,
1943,75.13416667,,
1944,74.84583333,,
1945,75.06,,
1946,74.99333333,,
1947,75.16916667,,
1948,75.08083333,,
1949,74.74083333,,
1950,74.89166667,,
1951,75.24666667,,
1952,75.36583333,,
1953,75.015,,
1954,74.98166667,,
1955,75.14583333,,
1956,74.92166667,,
1957,74.63333333,,
1958,74.42833333,,
1959,74.475,,
1960,74.7125,,
1961,74.61333333,,
1962,74.64166667,,
1963,74.655,,
1964,74.28666667,,
1965,74.39583333,,
1966,74.69,,
1967,74.85833333,,
1968,74.79916667,,
1969,74.74916667,,
1970,74.68583333,,
1971,74.72333333,,
1972,74.935,,
1973,75.21,,
1974,75.06583333,,
1975,74.81,,
1976,75.04416667,,
1977,74.75833333,,
1978,74.92083333,,
1979,74.84,,
1980,74.82333333,,
1981,74.78583333,,
1982,74.7525,,
1983,74.82166667,,
1984,74.90166667,,
1985,74.8775,,
1986,75.1475,,
1987,74.84916667,,
1988,74.68,,
1989,74.76083333,,
1990,74.80416667,,
1991,74.87,,
1992,74.8325,,
1993,75.0425,,
1994,74.755,,
1995,74.73916667,,
1996,74.87333333,,
1997,74.9625,,
1998,74.91,,
1999,74.5725,,
2000,74.78,,
2001,74.69916667,,
2002,74.79,,
2003,74.71333333,,
2004,74.84833333,,
2005,74.82166667,,
2006,74.83083333,,
2007,74.75166667,,
2008,74.875,,
2009,74.87333333,,
2010,74.67,,
2011,74.80183,,
2012,74.695,,
2013,74.74,,
2014,74.77,,
2015,74.74,,
