"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-01","1.3",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","19.4","H,,S","26.1",",,W","12.2",",,W","   50",",,W","   30",",,W","5.4",",,W","7.6",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-02","0.9",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","20.4","H,,S","28.3",",,W","11.7",",,W","  350",",,W","   50",",,W","4.5",",,W","7.6",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-03","1.7",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","21.9","H,,S","30.6",",,W","13.9",",,W","  320",",,W","  330",",,W","9.4",",,W","13.9",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-04","1.6",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","22.6","H,,S","30.0",",,W","16.1",",,W","  290",",,W","  340",",,W","4.5",",,W","7.2",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-05","2.8",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","24.0","H,,S","31.1",",,W","17.2",",,W","  240",",,W","  280",",,W","7.6",",,W","9.8",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-06","2.1",",,W",,,"3.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","23.2","H,,S","27.8",",,W","19.4",",,W","  300",",,W","  320",",,W","8.1",",,W","13.0",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-07","2.3",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","22.9","H,,S","30.0",",,W","16.7",",,W","  260",",,W","  260",",,W","7.6",",,W","10.7",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-08","4.8",",,W",,,"2.5",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","22.8","H,,S","27.8",",,W","15.6",",,W","  270",",,W","  290",",,W","9.8",",,W","15.2",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-09","3.6",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","20.2","H,,S","26.7",",,W","13.9",",,W","  300",",,W","  260",",,W","8.9",",,W","12.1",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-10","1.7",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","19.9","H,,S","28.3",",,W","12.2",",,W","  300",",,W","  310",",,W","6.3",",,W","9.8",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-11","1.6",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","20.6","H,,S","29.4",",,W","12.8",",,W","  230",",,W","  250",",,W","6.3",",,W","8.5",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-12","1.8",",,W",,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","25.2","H,,S","31.7",",,W","21.1",",,W","  250",",,W","  250",",,W","7.2",",,W","8.9",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-13","3.5",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","24.7","H,,S","29.4",",,W","19.4",",,W","   60",",,W","   40",",,W","6.3",",,W","8.1",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-14","3.4",",,W",,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","21.4","H,,S","27.2",",,W","16.7",",,W","   40",",,W","   20",",,W","7.2",",,W","9.4",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-15","3.0",",,W",,,"0.3",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","18.7","H,,S","21.1",",,W","13.9",",,W","  350",",,W","  350",",,W","5.8",",,W","8.1",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-16","2.5",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","19.3","H,,S","27.8",",,W","12.8",",,W","  210",",,W","  200",",,W","7.2",",,W","9.4",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-17","3.3",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","24.1","H,,S","30.6",",,W","17.8",",,W","   60",",,W","  250",",,W","7.6",",,W","10.3",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-18","4.1",",,W",,,"0.5",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","23.7","H,,S","28.9",",,W","20.0",",,W","  270",",,W","  240",",,W","11.6",",,W","17.4",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-19","1.9",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","23.4","H,,S","30.6",",,W","18.3",",,W","  220",",,W","  280",",,W","5.8",",,W","8.9",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-20","2.1",",,W",,,"4.1",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","23.8","H,,S","30.0",",,W","18.9",",,W","  250",",,W","  270",",,W","7.2",",,W","12.5",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-21","3.9",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","22.8","H,,S","28.3",",,W","18.9",",,W","  260",",,W","  250",",,W","10.3",",,W","13.0",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-22","2.9",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","21.8","H,,S","25.6",",,W","12.2",",,W","  350",",,W","  350",",,W","6.3",",,W","7.6",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-23","2.0",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","17.0","H,,S","23.9",",,W","8.9",",,W","   50",",,W","   30",",,W","6.7",",,W","8.9",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-24","2.5",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","16.6","H,,S","23.9",",,W","8.3",",,W","   60",",,W","   70",",,W","6.7",",,W","8.9",",,W"
