city_name,city_latitude,city_longitude
Abbottsford, 43.020030, -82.633260
Acme, 44.771950, -85.501460
Ada, 42.954200, -85.488910
Adair, 42.798090, -82.633810
Adams Park, 42.153930, -85.472770
Adamsville, 41.785330, -85.993890
Addison, 41.986430, -84.347170
Addison Junction, 41.993660, -84.325500
Adelaide Island, 46.005850, -83.829450
Adrian, 41.897550, -84.037170
Advance, 45.221400, -85.077560
Advance Island, 46.378070, -84.144470
Aetna, 43.567790, -85.920890
Afton, 45.373900, -84.496700
Agate, 46.474110, -89.070140
Agnew, 42.965020, -86.176720
Ahgosatown, 45.081110, -85.591750
Ahmeek, 47.298810, -88.396500
Ainger, 42.482820, -84.934430
Akron, 43.568080, -83.514130
Alabaster, 44.186410, -83.558030
Alabaster Junction, 44.245850, -83.563590
Alamando, 43.742810, -84.526670
Alamo, 42.375310, -85.707790
Alan's Mobile Home Park, 42.652780, -84.113890
Alanson, 45.444180, -84.786710
Alaska, 42.840030, -85.478080
Alba, 44.974730, -84.968660
Albany Island, 45.970300, -84.104180
Alberta, 46.643550, -88.479580
Albion, 42.243100, -84.753030
Albion Landing, 42.381980, -84.784150
Alcona, 44.760010, -83.297750
Alden, 44.881120, -85.275620
Alder, 46.789370, -87.697350
Alembic, 43.597530, -84.668340
Alfred, 46.083840, -87.632630
Algansee, 41.832550, -84.880790
Alger, 44.125580, -84.121110
Algonac, 42.618580, -82.532300
Algonquin Lake Trailer Court, 42.672780, -85.348330
Alicia, 43.270860, -84.032470
Allegan, 42.529200, -85.855300
Allegan Mobile Estates, 42.518060, -85.823060
Allen, 41.956990, -84.767740
Allen Island, 45.322510, -83.547480
Allen Park, 42.257540, -83.211040
Allen's Trailer Court, 42.078060, -83.959720
Allendale, 44.003910, -84.785020
Allendale, 42.972250, -85.953650
Allendale Meadows Mobile Park, 42.974720, -85.913890
Allenton, 41.766440, -85.974720
Allenton, 42.919470, -82.945490
Allenville, 45.984730, -84.820610
Allouez, 47.287150, -88.409560
Alma, 43.378920, -84.659730
Almeda Beach, 43.817520, -83.923040
Almena, 42.264760, -85.825290
Almont, 42.920580, -83.044930
Aloha, 45.526400, -84.466700
Alpena, 45.061680, -83.432750
Alpena Junction, 45.058620, -83.456090
Alpha, 46.043840, -88.377080
Alpine, 43.072800, -85.685040
Alpine Mobile Home Village, 43.663890, -84.268330
Alpine Mobile Village, 43.051940, -85.687500
Alpine Village Mobile Home Park, 43.631940, -83.934720
Alston, 46.768270, -88.753190
Alto, 42.856700, -85.380290
Alton, 43.016420, -85.351690
Alton, 45.883020, -86.884310
Altona, 43.539750, -85.313650
Alverno, 45.558620, -84.391700
Alvin, 44.524460, -83.442470
Amadore, 43.195030, -82.585760
Amasa, 46.232100, -88.450760
Amber, 43.955560, -86.319520
Amble, 43.431420, -85.388650
American Mobile Home Park, 43.039720, -83.651390
Americana Estates Mobile Home Park, 42.274440, -85.643890
Americana Estates Mobile Home Park, 42.738890, -82.727780
Amsden, 43.170590, -85.123630
Amygdaloid Island, 48.150990, -88.620630
Anchor Bay Gardens, 42.642810, -82.812420
Anchor Bay Harbor, 42.655310, -82.799090
Anchor Bay Shores, 42.635590, -82.816590
Anchorville, 42.691140, -82.688530
Anderson, 42.470870, -84.006060
Anderson Bayview, 44.236680, -83.545250
Andersonville, 42.730030, -83.492440
Andrews Estates Mobile Home Park, 42.283890, -85.394440
Andrews Island, 46.055850, -83.879730
Angel, 44.832500, -85.415070
Angling, 44.670010, -85.009210
Ann Arbor, 42.277560, -83.740880
Annie Island, 48.173210, -88.438400
Antlers, 46.754370, -87.655970
Antoine, 45.837460, -88.062070
Antrim, 44.890010, -85.073940
Antrim Center, 42.813640, -84.114410
Anvil, 46.470230, -90.018500
Aplin Beach, 43.650860, -83.870810
Apollo Eleven Mobile Home Park, 41.936390, -84.978890
Apple Carr Village, 43.243060, -86.123610
Apple Island, 42.588640, -83.371600
Applegate, 43.355300, -82.637150
Applegate Island, 45.311400, -83.544710
Arbor Meadows Mobile Home Park, 42.210120, -83.672670
Arbutus Beach, 44.946120, -84.683360
Arcadia, 44.493060, -86.231760
Arcadian, 47.155760, -88.555960
Arcadian Oak Mobile Home Park, 42.325830, -85.251940
Arch Island, 48.063490, -88.793690
Arden, 41.985880, -86.391960
Arenac, 44.005580, -83.858040
Argentine, 42.791420, -83.846340
Argyle, 43.564180, -82.936050
Arlene, 44.390010, -85.286720
Arlington Estates Mobile Village, 43.212500, -86.150560
Arlington Manor Mobile Home Park, 43.601110, -84.166670
Armada, 42.844200, -82.884370
Arn, 43.493610, -83.738890
Arnheim, 46.916870, -88.482630
Arnold, 46.050790, -87.492080
Arrow Island, 46.023350, -83.823890
Artesia Beach, 44.356410, -84.491680
Arthur Bay, 45.308870, -87.435670
Ash Acres, 44.037800, -84.811970
Ashland, 43.307800, -85.811160
Ashland, 45.203070, -83.451090
Ashland Center, 43.336410, -85.851720
Ashley, 43.186700, -84.474430
Ashman Island, 46.051410, -83.705840
Ashton, 43.973070, -85.503660
Askel, 46.895560, -88.577780
Aspen Commons Mobile Home Park, 45.008890, -84.675560
Assinins, 46.810210, -88.477350
Assyria, 42.464480, -85.131390
Athens, 42.088660, -85.234710
Atkins, 43.063080, -82.576870
Atlanta, 45.004730, -84.143890
Atlantic Mine, 47.097150, -88.627620
Atlas, 42.937810, -83.534390
Attica, 43.030310, -83.166050
Atwood, 45.179170, -85.345350
Au Gres, 44.048630, -83.695820
Au Sable, 44.410850, -83.332190
Au Sable River Park, 44.403350, -84.460290
Au Train, 46.430220, -86.836820
Au Train Island, 46.485220, -86.893210
Auburn, 43.603360, -84.069700
Auburn Heights, 42.633640, -83.222710
Auburn Hills, 42.687530, -83.234100
Augusta, 42.336430, -85.352220
Aura, 46.862710, -88.318740
Aurelius, 42.524200, -84.522200
Aurora, 46.448840, -90.146010
Ausable Mobile Home Village, 44.411390, -83.331110
Austin, 41.737270, -84.694120
Austin, 46.284390, -87.457080
Austin Center, 43.622520, -82.937440
Austin Corners, 42.787810, -83.508000
Auvinen Corner, 46.520220, -90.096280
Avalon Beach, 42.688920, -82.508240
Avalon Beach, 41.857270, -83.392710
Avenue A Mobile Home Estates, 42.325830, -85.251110
Averill, 43.665580, -84.341940
Avery, 41.800000, -86.571390
Avery, 44.957510, -84.031390
Avoca, 43.061970, -82.691040
Avondale, 44.015850, -85.226710
Avonwood Village Mobile Home Park, 42.312500, -85.144170
Axin, 44.210010, -85.547560
Ayr, 45.492230, -84.853380
Azalia, 42.018930, -83.665770
Babbits Resort, 44.667520, -84.612800
Babcock, 42.217260, -84.799970
Bach, 43.683070, -83.355790
Backus Beach, 44.760010, -83.546090
Bacon Island, 46.056690, -83.827510
Bad Axe, 43.801960, -83.000780
Bagley, 45.551360, -87.575680
Bagnall, 44.427230, -85.758680
Baie de Wasai, 46.461410, -84.244760
Bailey, 43.277800, -85.810320
Bailey Island, 48.154040, -88.480350
Bainbridge Center, 42.115600, -86.281690
Baker Village Mobile Home Park, 42.299170, -85.166670
Bakersville, 42.490030, -86.069750
Bakertown, 41.805050, -86.390850
Bald Island, 46.049470, -83.738060
Baldwin, 43.901120, -85.851730
Balitmore, 46.534670, -89.229030
Ballards Corners, 43.116970, -85.710040
Balsam, 46.207730, -88.380970
Baltic, 47.067430, -88.633460
Banat, 45.517750, -87.697620
Bancroft, 42.878640, -84.063850
Banfield, 42.463650, -85.288610
Bangor, 42.312540, -86.113080
Bankers, 41.897830, -84.691350
Bannister, 43.132530, -84.421650
Bar Lake, 44.297500, -86.307030
Baraga, 46.778540, -88.489020
Barbeau, 46.288630, -84.281150
Bark River, 45.710250, -87.304850
Barker Creek, 44.780280, -85.313400
Barnard, 45.251120, -85.301180
Barnes Lake-Millers Lake, 43.179560, -83.312300
Barnum Island, 47.877670, -89.233700
Baroda, 41.957540, -86.485570
Baroda Estates, 41.960000, -86.487500
Barry's Resort and Mobile Home Park, 42.612780, -85.210280
Barryton, 43.752530, -85.146980
Barton City, 44.684180, -83.605530
Barton Hills, 42.321980, -83.768830
Bass Reef Island, 46.104460, -83.997230
Bassett Island, 44.872500, -85.570630
Basswood, 46.188560, -88.845130
Bat Island, 48.146260, -88.464790
