Date	SeaLevel(mm)
1992.960	-28.7
1992.985	-31.8
1993.010	-30.5
1993.039	-33.5
1993.064	-37.0
1993.096	-38.6
1993.119	-36.2
1993.147	-32.1
1993.175	-31.2
1993.202	-31.4
1993.229	-32.2
1993.283	-34.6
1993.311	-30.1
1993.338	-31.9
1993.365	-31.0
1993.392	-35.2
1993.419	-35.8
1993.446	-33.0
1993.474	-29.9
1993.501	-29.0
1993.528	-28.1
1993.582	-31.0
1993.610	-28.4
1993.637	-24.2
1993.664	-21.9
1993.691	-23.6
1993.717	-25.5
1993.745	-22.5
1993.772	-18.3
1993.799	-20.5
1993.854	-21.7
1993.881	-24.3
1993.908	-24.5
1993.935	-23.9
1993.963	-20.1
1993.989	-22.3
1994.017	-29.3
1994.044	-27.0
1994.071	-26.1
1994.098	-30.0
1994.126	-31.6
1994.153	-29.4
1994.180	-25.8
1994.234	-27.2
1994.261	-26.4
1994.289	-25.8
1994.316	-25.9
1994.343	-29.0
1994.370	-30.8
1994.397	-33.1
1994.424	-30.0
1994.451	-26.2
1994.506	-31.3
1994.533	-27.8
1994.560	-26.6
1994.587	-24.6
1994.615	-23.7
1994.642	-21.2
1994.669	-21.3
1994.696	-19.1
1994.723	-20.0
1994.750	-19.7
1994.777	-18.7
1994.805	-15.3
1994.832	-16.1
1994.886	-22.0
1994.913	-24.9
1994.941	-19.5
1994.968	-18.9
1994.995	-20.7
1995.022	-20.7
1995.049	-24.0
1995.076	-19.1
1995.104	-22.9
1995.131	-27.1
1995.158	-23.9
1995.212	-20.2
1995.239	-26.6
1995.267	-24.7
1995.294	-23.8
1995.321	-24.9
1995.375	-27.7
1995.402	-25.6
1995.429	-22.9
1995.457	-24.9
1995.484	-28.2
1995.538	-29.1
1995.565	-26.2
1995.592	-24.5
1995.620	-21.3
1995.647	-21.9
1995.674	-20.3
1995.701	-16.1
1995.728	-9.8
1995.756	-14.7
1995.783	-16.6
1995.837	-17.2
1995.864	-18.1
1995.890	-16.4
1995.946	-19.1
1995.973	-15.8
1996.000	-20.1
1996.027	-23.3
1996.053	-23.2
1996.081	-24.5
1996.108	-20.7
1996.163	-21.6
1996.190	-24.4
1996.217	-22.2
1996.244	-21.2
1996.271	-23.3
1996.298	-24.6
1996.325	-24.6
1996.352	-23.0
1996.379	-23.1
1996.406	-21.5
1996.433	-22.2
1996.488	-22.7
1996.515	-22.4
1996.542	-19.9
1996.569	-17.2
1996.596	-18.5
1996.623	-20.4
1996.650	-19.7
1996.677	-20.6
1996.704	-15.7
1996.732	-12.7
1996.759	-10.8
1996.813	-7.3
1996.840	-6.7
1996.867	-10.0
1996.894	-16.6
1996.921	-17.0
1996.948	-17.5
1996.975	-22.6
1997.002	-23.1
1997.030	-19.9
1997.057	-22.5
1997.084	-21.7
1997.138	-23.6
1997.165	-22.9
1997.193	-23.6
1997.220	-21.4
1997.247	-20.0
1997.274	-21.2
1997.301	-24.1
1997.328	-21.7
1997.356	-19.4
1997.383	-21.7
1997.410	-19.2
1997.464	-22.6
1997.491	-19.6
1997.519	-17.7
1997.546	-12.9
1997.573	-14.8
1997.627	-13.1
1997.654	-10.9
1997.681	-8.2
1997.709	-4.2
1997.736	-4.1
1997.790	-6.6
1997.817	-5.4
1997.845	-4.9
1997.872	-10.7
1997.899	-12.8
1997.926	-12.4
1997.953	-17.0
1997.980	-14.1
1998.008	-15.7
1998.035	-14.8
1998.089	-17.6
1998.116	-18.4
1998.143	-18.2
1998.171	-18.3
1998.198	-16.9
1998.225	-16.5
1998.252	-19.6
1998.278	-17.4
1998.306	-18.0
1998.334	-18.2
1998.361	-20.1
1998.415	-24.0
1998.442	-23.2
1998.469	-22.2
1998.497	-19.4
1998.524	-19.8
1998.551	-22.2
1998.605	-18.7
1998.632	-19.5
1998.659	-15.7
1998.687	-15.2
1998.714	-16.4
1998.741	-15.8
1998.768	-15.4
1998.823	-12.2
1998.850	-15.3
1998.877	-17.2
1998.904	-20.2
1998.931	-15.0
1998.958	-17.7
1998.986	-17.9
1999.013	-21.4
1999.040	-19.4
1999.094	-24.8
1999.125	-11.9
1999.148	-17.0
1999.176	-18.6
1999.203	-20.2
1999.230	-18.0
1999.257	-17.6
1999.284	-18.6
1999.339	-19.9
1999.366	-21.0
1999.393	-22.4
1999.420	-19.0
1999.447	-21.5
1999.474	-20.3
1999.502	-18.1
1999.529	-17.1
1999.556	-17.8
1999.583	-14.7
1999.610	-16.0
1999.637	-10.9
1999.692	-10.9
1999.719	-6.6
1999.746	-7.2
1999.773	-3.6
1999.801	-4.7
1999.828	-8.0
1999.855	-10.5
1999.882	-8.4
1999.909	-9.0
1999.963	-7.7
1999.991	-9.0
2000.018	-12.9
2000.045	-12.3
2000.072	-9.8
2000.099	-13.4
2000.126	-15.6
2000.153	-14.2
2000.180	-16.1
2000.207	-17.1
2000.235	-12.0
2000.289	-16.6
2000.316	-17.2
2000.343	-19.5
2000.370	-18.6
2000.397	-18.1
2000.424	-17.1
2000.451	-17.6
2000.478	-19.4
2000.505	-17.7
2000.533	-14.2
2000.587	-14.1
2000.614	-12.4
2000.641	-9.2
2000.668	-12.8
2000.695	-9.7
2000.722	-2.3
2000.749	-0.2
2000.776	-1.5
2000.803	-4.7
2000.858	-3.6
2000.884	-4.0
2000.913	-5.2
2000.939	-8.3
2000.966	-10.1
2000.993	-7.2
2001.020	-8.1
2001.075	-9.4
2001.102	-11.8
2001.129	-14.6
2001.156	-10.9
2001.183	-7.6
2001.210	-12.3
2001.238	-8.8
2001.265	-9.9
2001.292	-9.9
2001.319	-12.2
2001.346	-12.2
2001.373	-10.5
2001.401	-11.9
2001.428	-13.7
2001.455	-14.7
2001.482	-8.0
2001.509	-6.6
2001.536	-4.0
2001.564	-6.7
2001.591	-2.6
2001.618	-6.2
2001.645	-5.3
2001.672	-2.4
2001.699	3.4
2001.727	3.8
2001.754	3.5
2001.781	-0.9
2001.808	-2.8
2001.835	2.2
2001.862	3.9
2001.890	0.5
2001.917	-3.4
2001.944	-4.8
2001.971	-5.4
2001.998	-1.8
2002.026	-5.8
2002.052	-9.8
2002.081	-4.0
2002.107	-4.2
2002.134	-4.0
2002.161	-5.1
2002.189	-11.0
2002.216	-9.3
2002.243	-10.8
2002.270	-5.8
2002.297	-10.5
2002.324	-9.7
2002.351	-10.3
2002.379	-8.6
2002.406	-9.3
2002.433	-11.7
2002.460	-8.4
2002.487	-5.1
2002.514	-6.9
2002.542	-4.0
2002.569	-1.2
2002.596	0.5
2002.623	3.0
2002.650	0.4
2002.677	-0.4
2002.705	1.1
2002.732	4.2
2002.759	3.6
2002.786	7.3
2002.813	10.7
2002.840	3.6
2002.868	3.5
2002.893	6.2
2002.922	3.7
2002.949	2.9
2002.976	0.2
2003.003	-1.9
2003.031	-3.3
2003.058	1.9
2003.085	0.7
2003.112	2.7
2003.139	-3.0
2003.166	-5.0
2003.194	-3.0
2003.221	-2.4
2003.248	-3.6
2003.279	-4.3
2003.302	-6.3
2003.329	-5.6
2003.357	-4.6
2003.384	-4.5
2003.411	-4.7
2003.438	-6.8
2003.465	-5.2
2003.492	-7.2
2003.520	-6.0
2003.547	-1.2
2003.574	-1.9
2003.601	0.0
2003.628	-1.7
2003.655	2.1
2003.683	5.5
2003.710	6.3
2003.737	6.9
2003.764	9.6
2003.791	7.9
2003.818	8.0
2003.846	6.6
2003.871	5.1
2003.911	3.0
2003.927	6.1
2003.954	4.3
2003.981	-0.1
2004.008	-0.1
2004.036	4.3
2004.063	3.1
2004.090	0.5
2004.113	-5.5
2004.148	-1.2
2004.171	-1.3
2004.198	-1.9
2004.225	-2.0
2004.251	-0.3
2004.279	-2.3
2004.307	0.7
2004.334	-4.1
2004.361	-4.5
2004.388	-5.7
2004.415	-2.0
2004.442	-2.6
2004.469	-3.6
2004.496	0.8
2004.523	1.6
2004.550	0.7
2004.577	-1.3
2004.605	1.2
