Date_Month,Date_Year,Station_City,Station_State,Data_Temperature,Data_Precipitation
1,2016,Birmingham,Alabama,39,0
1,2016,Huntsville,Alabama,39,0
1,2016,Mobile,Alabama,46,0.16
1,2016,Montgomery,Alabama,45,0
1,2016,Anchorage,Alaska,34,0.01
1,2016,Annette,Alaska,38,0.09
1,2016,Bethel,Alaska,30,0.05
1,2016,Bettles,Alaska,22,0.15
1,2016,Cold Bay,Alaska,34,0.6
1,2016,Cordova,Alaska,38,2.15
1,2016,Delta Junction/Ft Greely,Alaska,31,0
1,2016,Fairbanks,Alaska,14,0
1,2016,Gulkana,Alaska,27,0.02
1,2016,Homer,Alaska,39,1.22
1,2016,Iliamna,Alaska,40,0
1,2016,Juneau,Alaska,36,0.7
1,2016,Kenai,Alaska,34,0.14
1,2016,Ketchikan,Alaska,37,0.17
1,2016,King Salmon,Alaska,39,0.05
1,2016,Kodiak,Alaska,40,1.3
1,2016,Kotzebue,Alaska,27,0.1
1,2016,Mc Grath,Alaska,30,0.01
1,2016,Nome,Alaska,29,0.08
1,2016,Northway,Alaska,0,0
1,2016,Palmer,Alaska,37,0.4
1,2016,Petersburg,Alaska,60,0
1,2016,Puntilla Lake,Alaska,60,0
1,2016,Shemya,Alaska,60,0
1,2016,Sitka,Alaska,43,0.37
1,2016,Skagway,Alaska,38,0.55
1,2016,St Paul Island,Alaska,32,0.15
1,2016,Talkeetna,Alaska,32,0.04
1,2016,Tanana,Alaska,21,0
1,2016,Utqiagvik (Barrow),Alaska,6,0.05
1,2016,Yakutat,Alaska,36,2.42
1,2016,Douglas Bisbee,Arizona,41,0
1,2016,Kingman,Arizona,40,0
1,2016,Phoenix,Arizona,58,0
1,2016,Tucson,Arizona,56,0
1,2016,Winslow,Arizona,29,0
1,2016,Fort Smith,Arkansas,39,0
1,2016,Harrison,Arkansas,38,0
1,2016,North Little Rock,Arkansas,42,0
1,2016,Bakersfield,California,47,0
1,2016,Bishop,California,27,0
1,2016,China Lake,California,35,0
1,2016,Concord,California,44,0
1,2016,Eureka,California,44,0.06
1,2016,Fresno,California,46,0
1,2016,Hayward,California,47,0
1,2016,Long Beach,California,54,0
1,2016,Los Angeles,California,55,0
1,2016,Red Bluff,California,44,0
1,2016,Redding,California,45,0
1,2016,Sacramento,California,44,0
1,2016,Salinas,California,49,0
1,2016,San Diego,California,55,0
1,2016,San Francisco,California,46,0.04
1,2016,Sandberg,California,39,0
1,2016,Santa Barbara,California,51,0
1,2016,Santa Maria,California,51,0
1,2016,Stockton,California,42,0
1,2016,Alamosa,Colorado,14,0
1,2016,Colorado Springs,Colorado,28,0
1,2016,Craig,Colorado,-10,0
1,2016,Denver,Colorado,27,0
1,2016,Grand Junction,Colorado,14,0
1,2016,Pueblo,Colorado,26,0
1,2016,Bridgeport,Connecticut,38,0
1,2016,Windsor Locks,Connecticut,34,0
1,2016,Newark,DE,37,0
1,2016,Wilmington,Delaware,37,0
1,2016,Daytona Beach,Florida,63,0.75
1,2016,Fort Lauderdale,Florida,76,0.49
1,2016,Gainesville,Florida,56,0.62
1,2016,Jacksonville,Florida,56,0.49
1,2016,Key West,Florida,79,0.5
1,2016,Miami,Florida,76,1.13
1,2016,Orlando,Florida,65,0.14
1,2016,Pensacola,Florida,48,0.12
1,2016,Tallahassee,Florida,53,0.46
1,2016,Tampa,Florida,66,0.18
1,2016,Vero Beach,Florida,69,0.97
1,2016,West Palm Beach,Florida,74,0.24
1,2016,Alma,Georgia,51,0.66
1,2016,Athens,Georgia,45,0
1,2016,Atlanta,Georgia,42,0
1,2016,Augusta,Georgia,48,0
1,2016,Macon,Georgia,47,0.01
1,2016,Savannah,Georgia,56,0.41
1,2016,Hilo,Hawaii,73,0.11
1,2016,Honolulu,Hawaii,73,0
1,2016,Kahului,Hawaii,71,0.04
1,2016,Kaunakakai,Hawaii,72,0.04
1,2016,Lihue,Hawaii,70,0
1,2016,Boise,Idaho,15,0
1,2016,Lewiston,Idaho,21,0
1,2016,Pocatello,Idaho,8,0
1,2016,Chicago,Illinois,25,0
1,2016,Moline,Illinois,25,0
1,2016,Peoria,Illinois,29,0
1,2016,Quincy,Illinois,29,0
1,2016,Rockford,Illinois,24,0
1,2016,Springfield,Illinois,31,0
1,2016,Evansville,Indiana,35,0
1,2016,Fort Wayne,Indiana,29,0
1,2016,Indianapolis,Indiana,29,0
1,2016,South Bend,Indiana,27,0.03
1,2016,Cedar Rapids,Iowa,22,0
1,2016,Des Moines,Iowa,24,0
1,2016,Dubuque,Iowa,21,0
1,2016,Sioux City,Iowa,21,0
1,2016,Waterloo,Iowa,22,0
1,2016,Concordia,Kansas,31,0
1,2016,Dodge City,Kansas,31,0
1,2016,Goodland,Kansas,30,0
1,2016,Medicine Lodge,Kansas,34,0
1,2016,Topeka,Kansas,32,0
1,2016,Wichita,Kansas,33,0
1,2016,Covington,Kentucky,33,0
1,2016,Jackson,Kentucky,37,0
1,2016,Lexington,Kentucky,35,0
1,2016,Louisville,Kentucky,38,0
1,2016,Paducah,Kentucky,36,0
1,2016,Baton Rouge,Louisiana,47,0.09
1,2016,Lake Charles,Louisiana,47,0.08
1,2016,New Orleans,Louisiana,50,0.59
1,2016,Shreveport,Louisiana,46,0
1,2016,Slidell,Louisiana,47,0.22
1,2016,Bangor,Maine,29,0
1,2016,Caribou,Maine,23,0.1
1,2016,Portland,Maine,34,0.01
1,2016,Baltimore,Maryland,37,0
1,2016,Salisbury,Maryland,38,0
1,2016,Boston,Massachusetts,37,0
1,2016,Milton,Massachusetts,60,0
1,2016,Worcester,Massachusetts,31,0
1,2016,Alpena,Michigan,27,0.01
1,2016,Detroit,Michigan,32,0
1,2016,Flint,Michigan,31,0.05
1,2016,Grand Rapids,Michigan,30,0.04
1,2016,Houghton Lake,Michigan,26,0.08
1,2016,Lansing,Michigan,29,0.04
1,2016,Marquette,Michigan,23,0.21
1,2016,Muskegon,Michigan,31,0
1,2016,Sault Ste Marie,Michigan,24,0.04
1,2016,Duluth,Minnesota,22,0
1,2016,International Falls,Minnesota,21,0
1,2016,Minneapolis,Minnesota,23,0
1,2016,Rochester,Minnesota,19,0
